AppID	AppName	AppLabelID	PlatformID	AppIndustry	Price	NumOfInstalls	AverageStar	WebLink	Description	IconURL	Deleted
130	Appisodes: Great Aunt-Venture	39	1	Disney	4.99	500-1,000	0	https://play.google.com/store/apps/details?id=com.disney.djappisodesstfgav_goo	The Sofia The First Appisode featuring &quot;Great Aunt-Venture&quot; is filled with video, games and music as preschoolers play along with their favorite Disney Junior show. They will touch, tap, swipe, tilt, shake and talk their way through a fully immersive interactive TV episode that reinforces developmental values.	//lh3.googleusercontent.com/400hTBXGyOZPDy6M_iF0zsFOOgxLEAcu0dpgQS7Zg2oZjNU1oXvMYM_Ij5xF2jWv9BQ=w300	0
131	1 learn sight read music notes - piano sheet tutor	9	1	ngfSoft	1.49	10,000-50,000	0	https://play.google.com/store/apps/details?id=org.anddev.android.solfa	Learn music, read music in G &amp; F Clef. Solfa. Notes above and below staff. Span 6 octaves. Applies to any instrument. Notes generated randomly and not limited to a repeating set. Switch between clefs for even more fun. Answer key for starters. Beginners set the pace by limiting the octave section to learn.  Major and Minor Scales (sharps and flats). Piano sound can be muted. Include test score and performance statistics. Great for phones. Perfect for tablets.	//lh3.googleusercontent.com/bGT6QdugLCpGGJx7GDg2IRNoGi0iFewYfl9hsy7ZecpYGCL8XdWoCk5URcNntque4GM=w300	0
132	Appisodes: Enchanted Science	39	1	Disney	4.99	1,000-5,000	0	https://play.google.com/store/apps/details?id=com.disney.djappisodessof_goo	The Sofia The First Disney Junior Appisode featuring &quot;Enchanted Science Fair&quot; is filled with video, games, and music as preschoolers play along with their favorite Disney Junior show. They will touch, tap, swipe, tilt, shake and talk their way through a fully immersive interactive TV episode that reinforces developmental values.	//lh3.googleusercontent.com/TI7Q0CS_2Y_KDMSInGbVV2PO84ut_Ew5pipQ7JDlqH2-f2UiwUIfzOHKdeqK2KNimCU=w300	0
133	Mommy Saver Plus	10	1	Purple Leaf Software	1.49	1,000-5,000	0	https://play.google.com/store/apps/details?id=com.mommysaverapp.plus	Everything in MommySaver Lite, and also:	//lh3.googleusercontent.com/P6LMw7yHWle1_LI3QNNxc8PtElUizi_DrP96x0WSS_cttsbQ_e1zz_U91cPtluJiymo=w300	0
134	Appisodes: Kirby and the King	39	1	Disney	4.99	500-1,000	0	https://play.google.com/store/apps/details?id=com.disney.djappisodesdmskkkk_goo	The Doc McStuffins Disney Junior Appisode featuring &quot;Kirby and the King &amp; Karate Kangaroos&quot; is filled with video, games and music as preschoolers play along with their favorite Disney Junior show. They will touch, tap, swipe, tilt, shake and talk their way through a fully immersive interactive TV episode that reinforces developmental values.	//lh3.googleusercontent.com/rIQ8cBaBf1J0aNzGNt7pB0E243OIherTOowuumyW6NV06_4hOMBTFYXFeJjnBXBsnpo=w300	0
135	Appisodes: Hide the Hideout	39	1	Disney	4.99	1,000-5,000	0	https://play.google.com/store/apps/details?id=com.disney.djappisodesjnlphhhh_goo	The Jake and the Never Land Pirates Disney Junior Appisode featuring &quot;Hide the Hideout &amp; Captain Hooks Hooks&quot; is filled with video, games and music as preschoolers play along with their favorite Disney Junior show. They will touch, tap, swipe, tilt, shake and talk their way through a fully immersive interactive TV episode that reinforces developmental values.	//lh3.googleusercontent.com/16QnC7NkHbwd91iSMDyW6chavQgNIf68oSggAx-GWmWUjIlf10M0Xx-vmwcqOomhvRk=w300	0
136	Baby Sign and Sing	9	1	Baby Sign and Learn	2.99	5,000-10,000	0	https://play.google.com/store/apps/details?id=com.babysignandlearn.babysignandsing	Your baby or toddler will love signing along with the adorable Baby Sign and Learn animated characters in the Baby Sign and Sing nursery rhymes app. 	//lh4.ggpht.com/rQO3o9SjyZFIja7N12VoJ1DIobMVjwq1f1no6241Ozng714m6aOs7XyLXpILkWnXFzE=w300	0
137	Sago Mini Sound Box	9	1	Sago Mini	2.99	1,000-5,000	0	https://play.google.com/store/apps/details?id=com.sagosago.SoundBox.googleplay	This musical box of sound surprises is perfect for toddlers! Introduce children to sound and music with this magical app  just shake, rattle and tap! Listen for cheerful chimes, horns, drums, animals and more. Your little one is sure to laugh and giggle as they play. 	//lh3.googleusercontent.com/eSo_lC0BZVZAWFXsmPKxyrByfcajVgfwfYlEKDID7uKd_wtfAVABSx57-1zG6IYkFg=w300	0
138	Sago Mini Music Box	9	1	Sago Mini	2.99	1,000-5,000	0	https://play.google.com/store/apps/details?id=com.sagosago.Musicbox.googleplay	Play a song for your furry friends as you go on a musical adventure. This adorable touch-anywhere app is perfect for toddlers. Every tap fills the world with art and music. 	//lh3.googleusercontent.com/a3QSrP297hYV7yUladeRJD_tTMUG8l88u0608hTBrfeFvMjMKh6GmCtNhrg0i5AWkQ=w300	0
139	Learn Music Notes	41	1	K0RTXTECH	1.99	1,000-5,000	0	https://play.google.com/store/apps/details?id=air.junglemusic	Jungle Music is an educational game that lets you easily learn to read music notes in all clefs through an innovating, progressive, playful and instructive method, specially designed for beginner musicians and children age 5 and up.	//lh3.googleusercontent.com/sosQBO3ua_q305r-FPB5c2fOtMZaCLgqBQOPjagKrgB9wTYkFa0OC67EtJb3LjRTlw=w300	0
